gender;Near_Location;Partner;Promo_friends;Phone;Contract_period;Group_visits;Age;Avg_additional_charges_total;Month_to_end_contract;Lifetime;Avg_class_frequency_total;Avg_class_frequency_current_month;Churn
0;0;0;0;1;1;1;27;4.808.795.386.623.230;1.0;0;10.032.812.605.503.700;0.7283969431192622;1
1;1;1;1;1;1;1;29;5.499.155.190.262.770;1.0;5;2.157.267.591.452.110;21.705.857.806.811.500;0
1;1;1;1;1;6;1;28;2.703.999.201.465.780;6.0;4;15.793.619.809.968.000;15.368.014.190.092.000;0
1;1;0;0;0;1;0;32;1.661.531.216.426.610;1.0;0;10.343.163.047.577.000;0.4921178205540082;1
1;1;0;0;1;1;1;34;734.815.509.080.304;1.0;5;1.325.832.239.833.300;11.395.431.558.112.400;0
0;1;0;0;1;1;0;27;10.053.653.357.713.700;1.0;1;0.6544635284392161;0.7686025340156576;1
0;1;0;0;1;1;0;26;13.417.369.455.411.000;1.0;0;23.627.995.883.866.100;2.323.650.188.679.040;1
1;0;1;0;1;12;0;31;105.145.601.883.579;11.0;2;1.899.361.825.866.670;1.905.773.521.681.560;0
1;1;0;0;1;1;0;25;16.942.102.977.533.600;1.0;0;0.5015661863168513;0.7930117688259906;1
1;1;0;0;1;1;0;26;4.931.143.803.096.590;1.0;1;0.9403606321378816;0.4727349388345753;1
1;1;0;1;1;1;0;25;16.765.130.845.742.400;1.0;1;1.696.165.343.557.940;0.6966613775409138;1
1;1;1;1;1;12;1;33;24.344.922.539.220.600;12.0;6;0.08708550306145013;0.012578705130274035;0
0;1;1;0;1;1;1;28;578.439.430.805.731;1.0;2;0.6283855144940107;0.6085254921843267;0
1;1;0;0;1;6;0;29;18.643.274.544.355.100;6.0;2;12.149.694.736.570.000;12.465.888.610.948.700;0
0;1;1;1;1;6;0;28;1.864.047.258.893.320;6.0;1;13.702.555.241.893.100;0.6543695312825354;1
0;1;1;1;1;1;1;27;11.460.041.258.357.100;1.0;1;0.11350691708594553;0.0;1
0;0;1;0;1;12;0;27;1.575.308.822.269.440;12.0;10;2.345.391.271.696.510;2.301.678.525.899.820;0
0;1;1;1;1;1;0;26;24.732.623.642.109.800;1.0;1;1.940.789.324.002.780;16.660.799.356.221.200;1
1;1;1;1;1;12;0;32;26.234.878.981.269.600;12.0;3;2.444.228.256.334.870;2.584.988.983.339.930;0
1;1;1;1;1;6;1;31;19.152.031.040.635.000;6.0;0;2.321.847.434.264.630;17.870.130.571.210.700;1
1;1;0;0;1;12;1;32;2.602.251.424.198.100;12.0;1;1.852.276.859.199.570;18.816.581.652.424.500;0
0;1;0;0;1;12;0;36;9.549.786.804.587.020;12.0;1;13.226.478.692.302.100;12.512.603.554.097.600;0
0;1;0;0;0;6;0;28;10.375.830.286.490.800;6.0;5;0.5063501664796586;0.4361552529368948;0
1;1;0;0;1;1;0;27;745.310.134.037.262;1.0;4;15.085.430.920.365.000;0.6332267351886773;1
1;1;0;0;1;1;1;35;3.566.437.608.768.850;1.0;5;0.9921281402780632;12.324.169.977.075.400;0
1;0;1;0;1;12;0;26;1.474.466.501.599.090;4.0;4;27.243.912.695.066.900;2.624.798.677.307.050;0
0;1;1;0;1;1;1;27;6.747.297.297.849.220;1.0;6;27.670.308.093.448.900;26.266.244.919.933.900;0
1;1;0;0;1;1;1;29;10.526.650.445.119.500;1.0;0;0.96306835216244;11.591.539.233.150.800;1
1;1;1;1;1;1;0;28;57.847.267.259.349.600;1.0;9;19.476.743.772.948.800;18.699.320.123.060.100;0
0;1;1;1;1;12;1;28;8.402.868.110.958.900;10.0;0;0.0;0.0;0
1;1;1;0;1;12;1;32;13.774.556.676.302.600;12.0;5;25.007.152.026.437.700;24.468.247.407.394.700;0
1;1;0;0;1;1;0;26;60.642.217.016.013.600;1.0;2;16.488.549.490.215.800;1.396.507.003.276.070;1
1;1;0;0;1;1;1;33;9.762.361.718.473.120;1.0;1;13.892.462.237.050.100;14.372.189.557.806.600;0
1;1;0;0;1;1;1;28;1.615.451.408.848.660;1.0;0;2.544.543.610.468.040;13.162.036.514.672.700;1
1;1;1;0;1;1;1;32;4.051.433.927.089.150;1.0;2;19.184.171.431.469.200;20.648.993.614.928.900;0
1;1;1;1;1;6;1;27;7.064.277.601.917.330;5.0;3;28.076.050.726.868.700;27.612.555.889.274.500;0
1;1;0;0;1;1;1;36;16.959.272.492.364.600;1.0;3;29.806.060.804.800.400;29.803.000.650.940.400;0
0;1;0;0;1;1;0;31;20.783.762.543.299.100;1.0;0;22.697.356.385.082.800;20.815.057.853.334.700;1
0;0;1;0;1;1;0;27;28.673.251.724.801.600;1.0;2;23.675.814.526.108.500;18.344.409.099.564.300;1
1;1;1;0;1;12;1;30;8.999.404.113.554.650;12.0;2;24.661.762.948.233.900;25.732.477.444.744.700;0
1;1;1;1;1;6;1;27;9.111.360.499.957.390;5.0;8;0.9362899524616748;0.8295698107863774;0
0;1;1;0;1;12;1;32;2.919.196.263.219.060;12.0;1;1.989.254.193.166.540;2.180.065.628.760.810;0
1;1;1;1;1;12;1;29;2.985.444.053.830.610;12.0;7;27.578.195.960.188.700;2.790.359.879.006.240;0
1;1;0;0;1;1;0;28;60.592.262.054.219.400;1.0;4;3.633.665.365.680.870;36.876.543.921.974.000;0
0;1;1;1;1;12;1;30;12.472.956.537.805.100;7.0;2;23.347.270.825.224.500;23.453.044.115.849.000;0
1;0;0;0;1;1;0;26;21.039.530.401.338.100;1.0;1;15.755.337.162.608.400;0.7790881669402796;1
1;1;0;1;0;1;1;36;19.332.018.500.844.400;1.0;0;2.362.169.887.990.700;2.515.168.812.349.420;0
0;1;1;1;1;1;1;25;8.795.891.689.049.290;1.0;0;15.974.410.891.365.200;11.903.646.108.101.900;1
0;1;1;1;1;1;1;27;19.723.108.297.288.500;1.0;8;26.115.870.586.661.200;2.708.012.347.155.640;0
0;1;0;1;1;1;1;24;19.897.169.698.732.400;1.0;0;26.069.728.231.505.300;15.802.841.352.817.400;1
0;1;1;1;1;12;0;34;3.670.322.491.839.660;9.0;5;25.321.487.735.681.000;26.019.416.152.282.800;0
1;1;0;0;1;1;1;31;1.359.155.585.205.080;1.0;9;14.485.527.307.003.600;12.844.486.938.429.000;0
1;1;1;1;1;6;1;31;1.573.873.407.991.090;6.0;14;1.814.809.314.995.920;18.129.109.109.964.400;0
1;1;1;0;1;6;1;24;1.602.522.075.163.660;6.0;4;11.045.059.503.072.400;0.0;1
0;1;0;0;1;12;1;24;2.412.919.551.204.210;12.0;2;2.051.571.036.168.100;19.206.865.846.336.700;0
1;0;0;0;1;1;0;27;16.961.084.002.893.400;1.0;8;22.271.286.949.798.000;24.079.138.279.643.600;0
0;1;1;1;1;6;0;32;21.121.864.117.699.800;4.0;2;15.876.795.879.456.900;14.340.264.524.274.900;0
1;0;0;0;1;1;0;27;7.044.682.145.187.070;1.0;0;0.23515518772867705;0.0;1
0;1;0;0;1;6;1;23;25.593.561.696.663.500;6.0;3;36.775.572.771.130.400;34.258.712.882.360.700;0
0;0;1;0;1;1;0;29;1.091.531.165.109.850;1.0;5;1.796.117.730.183.910;17.981.383.816.165.300;0
0;1;0;0;1;12;0;24;19.322.289.934.396.900;12.0;11;22.356.660.012.994.400;21.061.203.536.590.000;0
1;1;0;0;1;12;1;36;2.549.954.272.657.000;12.0;10;27.990.327.599.621.900;27.987.929.260.611.700;0
0;1;1;0;0;1;0;29;5.283.815.422.620.150;1.0;22;34.804.281.396.568.200;35.342.519.596.957.400;0
1;1;1;0;1;12;1;34;2.448.518.468.221.680;9.0;4;12.189.445.529.569.500;12.494.314.685.648.500;0
0;1;0;0;1;1;0;25;16.998.932.027.731.300;1.0;2;21.989.685.594.339.800;0.6491212107219615;1
1;1;1;0;1;6;0;26;8.627.952.309.859.890;6.0;6;14.207.127.145.707.700;15.067.365.743.736.600;0
1;1;1;0;1;12;0;34;17.786.782.208.879.900;12.0;2;2.931.142.659.587.900;28.225.989.029.252.800;0
0;1;0;0;1;1;1;33;9.693.117.512.897.360;1.0;2;24.803.252.375.059.700;2.541.884.559.950.280;0
1;1;1;1;1;1;0;28;15.887.271.337.677.400;1.0;2;0.8252409762450892;0.7497398032722988;0
0;1;1;0;0;1;1;32;8.995.276.171.319.600;1.0;7;2.308.605.718.088.620;2.377.754.544.719.240;0
1;1;0;0;1;1;0;25;18.382.070.522.776.200;1.0;6;18.176.823.033.523.700;191.150.296.924.384;0
0;1;0;1;1;12;1;30;7.616.745.242.463.940;7.0;5;16.076.304.152.047.100;180.889.273.099.354;0
0;0;1;0;1;6;0;30;5.621.319.796.478.770;6.0;2;1.422.834.692.346.180;13.665.458.896.824.300;0
1;1;1;1;1;6;1;28;12.978.560.971.994.900;6.0;1;4.083.599.416.174.740;38.743.812.550.213.900;0
0;1;0;0;1;6;1;33;9.352.435.609.491.520;6.0;4;15.058.453.203.622.900;15.489.735.296.352.100;0
1;1;1;0;1;1;0;27;2.274.858.691.725.930;1.0;1;31.132.393.925.875.300;31.573.700.494.745.000;0
0;1;0;0;1;1;0;28;2.627.072.860.121.790;1.0;2;17.555.765.227.339.700;18.916.972.162.127.700;0
1;1;1;0;1;6;0;27;7.222.102.474.436.060;6.0;7;0.3783648405239004;0.2839368314234153;0
1;1;1;0;0;12;0;30;26.159.130.538.426.900;12.0;1;0.9898055069913192;0.8350603982864029;0
1;1;1;1;0;12;1;33;21.774.833.706.755.700;12.0;9;1.593.358.862.233.900;13.951.887.151.931.000;0
0;1;0;1;1;1;0;26;12.800.009.056.951.200;1.0;2;12.818.883.631.387.900;0.7678127902504556;1
1;1;0;0;1;1;0;24;18.663.884.373.535.000;1.0;1;14.070.508.103.827.600;0.15139896045018775;1
0;1;1;1;1;6;1;28;27.704.987.552.168.700;6.0;3;4.257.105.604.047.740;4.131.955.154.349.850;0
1;1;1;1;1;1;0;31;11.485.170.350.947.200;1.0;1;11.599.672.993.796.300;11.750.893.120.699.500;0
1;0;1;0;1;6;1;27;18.274.197.380.167.100;6.0;3;0.4166628986192724;0.23895228533066584;0
0;0;0;0;0;1;0;29;45.435.351.284.437.000;1.0;0;18.336.058.829.288.500;0.4821728966204151;1
1;1;0;0;1;1;1;33;0.5105450971712742;1.0;3;23.289.375.274.908.500;2.442.888.242.521.100;0
0;1;0;0;1;1;0;29;12.866.448.203.926.200;1.0;1;3.450.939.798.635.020;33.746.650.946.257.400;0
0;1;0;0;1;1;0;30;5.287.123.413.334.640;1.0;0;0.0;0.003273565680080247;0
0;1;0;1;0;6;1;37;21.578.690.470.073.500;4.0;4;19.539.302.487.023.200;19.183.866.848.424.600;0
1;1;0;0;1;12;1;31;1.700.277.071.219.670;9.0;2;37.237.565.582.282.400;3.689.264.693.443.520;0
1;0;1;0;1;1;0;24;6.148.417.154.719.660;1.0;3;0.0;0.0;0
0;1;0;0;1;1;0;26;20.284.445.099.448.900;1.0;1;19.772.006.998.499.300;18.463.724.584.625.400;1
0;1;0;0;1;1;1;27;472.318.896.556.732;1.0;5;35.474.896.681.039.400;37.551.304.155.004.300;0
0;0;0;0;1;1;0;29;20.530.951.465.039.900;1.0;3;25.524.729.967.452.000;2.207.116.805.236.750;1
1;1;1;0;1;6;0;30;7.949.454.486.500.570;2.0;3;29.815.306.437.090.300;3.035.320.410.357.950;0
1;1;0;0;1;1;1;27;172.210.086.518.131;1.0;2;10.564.676.987.735.200;0.9607060727782896;0
0;1;0;0;1;12;0;22;39.366.399.385.595.900;12.0;11;26.082.209.299.375.900;28.209.536.690.072.200;0
0;1;0;1;1;1;0;29;2.433.655.275.450.060;1.0;7;24.314.095.828.157.200;22.842.965.235.088.900;0
1;1;0;0;1;6;1;32;13.441.062.780.218.900;6.0;3;38.293.463.548.060.600;3.687.757.679.263.010;0
0;1;0;0;1;1;0;27;4.014.440.798.448.390;1.0;1;11.387.524.129.064.100;0.5211574631612929;1
1;1;0;0;1;1;0;26;26.670.860.744.755.200;1.0;0;18.988.527.183.253.200;0.9367417244602064;1
1;1;0;0;1;1;0;31;6.794.894.197.747.130;1.0;2;11.141.274.597.008.300;1.136.692.543.430.250;0
1;1;1;0;1;12;1;31;6.348.683.114.013.940;12.0;2;27.562.246.449.955.800;28.079.761.713.251.100;0
0;1;0;0;0;1;1;30;12.200.138.968.162.600;1.0;0;0.5789599685146078;0.0;1
0;0;0;0;1;12;1;28;6.196.235.627.475.680;9.0;2;14.035.752.329.556.000;1.412.544.976.810.450;0
0;1;1;1;1;1;1;30;21.099.541.233.456.200;1.0;6;31.807.245.400.449.300;319.209.474.221.062;0
1;1;0;0;0;1;1;31;2.084.270.551.589.000;1.0;4;2.273.497.754.607.900;229.580.323.691.232;0
1;1;1;0;1;6;1;30;2.494.580.465.323.490;6.0;14;35.839.236.737.841.300;3.612.875.726.791.270;0
0;0;1;0;1;1;1;25;21.274.890.697.131.600;1.0;3;20.034.423.829.956.800;18.885.112.940.911.600;0
0;0;0;0;1;1;0;26;20.295.612.241.212.000;1.0;1;0.2410998682805769;0.0;1
1;1;1;1;1;1;1;29;9.918.427.230.799.950;1.0;4;3.713.576.094.085.620;3.742.706.073.154.890;0
0;1;0;1;1;1;0;21;16.437.422.655.965.000;1.0;0;1.683.058.891.855.200;0.8726920068794659;1
0;1;1;1;1;6;0;25;307.159.369.500.642;5.0;5;29.844.669.062.940.100;3.168.989.639.254.490;0
1;1;0;0;1;12;1;31;9.438.163.036.097.720;12.0;5;3.316.073.434.571.780;34.648.469.102.046.900;0
0;1;0;0;1;6;1;31;21.665.923.057.270.300;6.0;2;42.762.954.968.441.300;4.261.644.633.915.240;0
0;1;1;0;0;6;1;33;6.506.291.216.570.380;5.0;10;12.824.813.436.338.200;1.235.841.433.914.490;0
1;0;0;0;1;1;0;20;11.776.592.211.390.800;1.0;2;0.8974634388858421;0.012794274777736314;1
1;1;0;0;1;6;0;32;1.382.230.764.311.240;6.0;5;26.038.982.837.595.500;2.459.854.034.357.000;0
0;1;0;0;1;1;0;29;47.967.096.309.122.500;1.0;0;23.859.709.840.255.400;30.860.213.439.543.700;1
0;1;1;1;0;6;0;34;1.697.882.303.488.590;5.0;8;13.568.498.361.180.100;1.311.277.520.873.000;0
0;1;0;0;1;1;0;30;1.353.223.058.118.350;1.0;1;11.945.970.010.789.100;13.535.364.840.377.800;0
1;1;1;1;1;6;1;32;4.984.918.936.484.680;6.0;0;2.337.640.904.529.970;23.276.878.069.234.500;0
1;1;0;0;1;6;0;26;30.977.512.913.853.800;6.0;3;26.381.954.916.261.300;27.069.089.031.476.800;0
0;1;0;0;1;1;0;30;30.307.861.592.198.700;1.0;7;14.504.628.702.460.000;14.856.421.606.648.100;0
1;1;0;0;1;1;0;23;9.159.726.955.504.840;1.0;0;20.821.102.175.729.000;19.331.504.647.460.600;1
1;1;0;0;1;6;0;28;2.801.645.328.953.480;6.0;0;0.6376470136228051;0.43839065111793496;1
0;1;1;0;1;12;0;29;17.370.335.930.299.200;12.0;5;19.648.152.577.785.800;1.945.825.779.531.030;0
0;1;1;1;1;1;1;30;8.590.341.301.051.350;1.0;3;18.751.769.543.820.200;1.939.111.783.649.310;0
0;1;0;0;1;1;1;27;8.826.704.378.743.120;1.0;3;13.606.362.844.728.000;12.969.163.929.508.000;0
0;1;1;0;1;12;1;38;7.699.472.205.724.030;12.0;13;0.4796783927772217;0.34159331596507536;0
1;0;1;0;1;1;0;25;14.574.255.064.230.600;1.0;0;1.558.681.127.703.850;1.844.258.521.105.900;1
1;0;0;0;1;1;1;24;10.383.523.560.341.000;1.0;0;0.8708652718383987;0.9338692791433778;1
0;1;0;0;1;1;1;25;1.205.039.509.846.640;1.0;6;22.558.773.878.532.700;2.125.691.162.273.750;0
0;0;0;0;1;1;1;23;22.022.759.776.491.800;1.0;2;25.880.506.815.542.100;30.339.358.036.482.100;1
1;0;0;0;1;1;1;23;12.535.134.141.182.900;1.0;1;15.704.691.480.347.900;12.935.568.518.618.500;1
1;1;1;1;1;6;0;32;1.697.074.136.689.750;4.0;6;2.023.172.096.964.660;20.417.783.461.813.100;0
0;0;0;0;1;1;0;29;14.743.538.881.641.300;1.0;2;3.005.823.971.877.000;2.951.396.674.691.830;0
1;1;0;0;1;1;0;23;2.159.300.032.029.620;1.0;4;12.839.452.903.999.900;0.5998890823237302;1
0;1;0;0;1;1;1;30;12.922.345.793.222.600;1.0;5;1.826.115.229.769.620;1.769.320.220.389.920;0
0;1;0;0;1;1;0;35;224.019.816.887.839;1.0;3;4.214.105.922.988.940;4.433.794.493.248.460;0
0;1;0;0;0;1;0;28;2.143.299.564.687.260;1.0;14;3.700.020.247.571.960;3.610.445.142.471.990;0
0;1;1;1;1;6;0;27;40.865.823.489.505.000;6.0;2;2.791.263.738.117.730;27.006.597.296.760.500;0
0;1;0;0;1;1;1;23;3.040.974.910.851.540;1.0;2;23.781.225.171.046.100;2.784.798.863.156.840;1
0;1;0;0;1;1;0;30;13.166.258.939.549.400;1.0;6;16.059.767.062.098.000;16.581.963.643.748.800;0
1;1;1;1;1;6;1;34;1.158.692.419.392.400;4.0;9;0.6524742996782606;0.5706731218986523;0
0;1;1;1;1;12;0;31;17.913.493.986.172.700;11.0;3;0.6614395566055016;0.7273466389619104;0
0;1;1;1;1;6;1;26;22.777.347.779.311.700;6.0;3;26.540.110.227.062.200;26.895.879.706.191.900;0
0;1;0;0;1;1;1;30;14.014.766.368.853.900;1.0;0;0.8558954504292726;0.10538122914628724;1
1;1;0;0;1;1;0;28;24.416.602.722.539.400;1.0;4;27.409.530.009.477.600;26.811.469.195.397.600;0
0;0;1;0;1;12;0;29;2.822.401.301.549.670;12.0;3;12.772.048.267.458.400;14.024.377.599.165.300;0
1;0;1;0;1;1;0;33;9.377.860.345.256.890;1.0;3;14.268.087.984.908.000;1.422.600.935.295.210;0
0;1;0;0;1;1;0;25;12.576.737.792.886.000;1.0;1;20.641.721.878.861.600;1.468.765.694.002.000;1
1;1;0;0;1;1;0;30;9.870.957.181.094.080;1.0;1;2.443.442.154.960.110;24.484.950.720.874.700;0
0;1;1;1;1;1;1;29;4.609.040.079.782.910;1.0;10;3.157.763.830.742.120;3.154.869.258.110.420;0
0;1;1;0;1;1;0;31;33.156.729.595.179.200;1.0;6;0.686940687080434;0.605373823889181;0
1;1;1;0;1;1;1;33;16.289.088.239.091.800;1.0;12;0.4561128706588835;0.5470414695762911;0
0;1;0;0;1;12;0;31;29.197.318.313.049.000;10.0;7;21.714.965.828.171.400;23.392.263.285.214.400;0
1;0;0;0;1;1;0;32;21.254.445.404.820.200;1.0;4;23.675.500.304.360.500;2.258.848.932.194.860;0
0;1;1;1;1;1;0;28;26.610.583.581.974.800;1.0;12;15.499.839.207.518.400;16.321.468.810.941.700;0
1;0;1;0;1;1;0;29;19.310.612.524.700.300;1.0;0;14.349.759.313.250.200;0.3565246944934275;1
0;0;0;0;1;1;0;30;3.264.928.000.044.880;1.0;0;21.826.540.142.142.700;1.821.093.306.086.520;1
1;1;0;0;1;1;0;27;7.646.404.326.884.520;1.0;0;20.543.446.345.280.700;14.551.716.324.623.400;1
0;1;1;1;0;12;1;26;2.683.992.581.583.400;12.0;5;0.22096870250831024;0.2884503048820689;0
0;1;1;0;1;1;0;35;10.426.260.229.551.200;1.0;5;14.657.692.849.940.400;15.509.000.887.467.600;0
0;1;0;0;1;1;0;26;10.952.217.868.305.800;1.0;1;1.320.456.954.427.950;0.519919082681087;1
0;1;0;0;1;1;1;31;12.636.051.542.860.500;1.0;6;22.118.589.041.239.900;227.730.932.408.688;0
0;0;0;0;0;1;0;31;1.396.654.565.104.350;1.0;3;21.041.850.448.970.900;2.144.783.877.291.610;0
1;1;0;0;1;6;1;33;1.675.902.863.717.330;6.0;2;3.199.802.006.594.980;30.562.606.790.859.600;0
0;1;1;0;1;1;0;27;10.989.239.360.465.600;1.0;5;3.688.624.425.541.180;36.692.050.601.691.500;0
0;1;0;0;1;1;0;30;10.881.046.040.220.300;1.0;1;1.478.378.998.850.450;16.991.286.907.006.400;1
0;1;1;1;1;12;0;32;13.784.714.667.152.300;11.0;3;2.234.327.532.539.270;2.176.055.678.280.250;0
1;0;1;1;0;1;1;26;17.927.501.917.707.400;1.0;1;2.662.378.907.003.580;15.975.996.924.456.300;1
1;0;0;0;1;1;0;34;19.010.267.111.553.700;1.0;4;22.443.212.740.927.200;21.794.234.999.360.600;0
1;1;1;1;1;1;1;35;1.268.208.182.148.900;1.0;4;21.089.127.762.124.300;1.941.381.958.286.490;0
0;1;0;0;1;1;1;34;24.428.410.645.788.300;1.0;2;30.881.050.034.251.800;30.230.964.188.130.700;0
0;1;1;0;1;6;0;31;20.676.280.950.792.400;6.0;3;0.861286158051908;0.8075379677465921;0
0;1;0;0;1;6;0;28;1.349.747.944.059.700;5.0;0;13.243.226.041.155.300;13.360.120.607.850.800;0
0;0;0;0;1;1;0;30;1.550.252.109.409.990;1.0;3;10.321.627.151.230.200;0.9434241983951036;0
0;1;0;0;1;6;1;30;1.847.230.306.346.780;6.0;8;2.532.587.238.742.800;26.248.640.801.791.200;0
0;1;0;0;1;1;1;25;17.326.168.125.060.400;1.0;1;1.139.817.177.621.410;1.106.280.108.055.100;0
0;1;0;0;1;1;0;25;26.629.355.491.675.800;1.0;0;14.941.518.943.831.200;17.233.180.067.396.500;1
1;1;0;0;1;1;0;26;1.346.994.102.859.590;1.0;2;10.107.677.611.735.300;15.055.284.156.238.000;1
1;1;0;0;1;1;0;33;19.194.699.927.749.300;1.0;3;25.093.917.901.743.600;23.480.564.587.743.900;0
0;1;1;1;1;12;1;24;9.246.848.374.990.670;12.0;0;13.865.635.741.603.000;14.090.454.489.746.500;0
1;0;0;0;1;1;0;33;8.052.141.252.423.880;1.0;3;0.9507303754121228;0.7818238209388545;1
1;1;1;0;1;12;1;31;6.931.928.874.091.550;12.0;3;11.161.973.017.924.400;11.848.615.709.919.300;0
0;1;1;1;1;6;1;28;474.975.346.205.413;6.0;3;25.980.428.128.998.800;24.537.662.244.815.800;0
0;1;1;1;0;1;1;27;6.217.956.217.779.060;1.0;0;13.274.270.688.596.000;0.24968910803147426;1
0;0;0;0;1;1;1;31;9.360.761.084.005.380;1.0;6;391.425.566.850.796;3.961.001.939.212.490;0
1;1;0;0;1;12;1;27;22.460.254.344.492.700;12.0;1;1.233.144.234.754.880;1.459.644.012.339.160;0
0;1;0;0;1;1;0;26;18.931.685.441.469.000;1.0;1;20.254.047.188.343.400;17.563.205.846.258.400;1
0;1;0;0;0;1;0;28;33.592.863.094.456.800;1.0;1;13.688.996.572.838;14.197.378.028.047.600;1
0;0;0;0;0;1;0;26;6.333.391.056.508.540;1.0;0;0.9314176625099636;0.3792345793336392;1
1;1;0;0;1;1;0;34;4.459.545.267.635.780;1.0;1;18.723.586.611.637.500;1.892.621.194.180.320;0
1;0;0;0;0;1;0;27;10.847.254.901.193.000;1.0;0;16.008.926.765.867.400;16.091.730.010.598.600;1
1;0;1;0;1;1;0;28;19.171.814.435.323.800;1.0;9;2.350.243.736.081.780;22.185.181.567.678.000;0
0;1;1;1;0;12;1;33;3.475.647.591.804.470;12.0;1;0.05495006736585162;0.1592912316532215;0
0;1;0;0;1;6;0;31;26.022.289.730.502.300;6.0;3;14.507.550.623.461.400;0.8119410721503916;1
0;1;1;0;1;12;0;30;18.866.946.574.512.300;12.0;2;2.414.795.979.509.850;236.844.631.660.273;0
1;1;0;0;0;1;0;28;10.455.001.837.237.000;1.0;6;20.738.132.693.068.800;21.554.377.662.402.300;0
0;1;1;0;1;1;0;27;15.100.606.961.620.900;1.0;1;10.266.296.359.594.500;13.688.846.082.816.200;1
0;1;0;0;1;1;1;32;6.758.777.453.164.360;1.0;4;1.216.622.154.122.750;13.338.633.380.954.500;0
1;1;0;0;1;6;1;31;2.634.142.856.906.870;4.0;1;12.589.934.649.680.000;13.147.775.977.239.200;0
1;1;1;0;1;12;0;27;3.870.370.109.600.360;12.0;6;23.046.834.580.202.100;23.817.760.260.228.800;0
0;0;1;1;1;1;1;24;11.840.308.982.770.700;1.0;0;14.468.573.987.212.700;0.97718771276603;1
0;1;0;0;1;12;0;32;17.531.659.286.981.500;11.0;3;31.666.952.862.610.900;30.711.299.808.864.600;0
1;1;0;0;1;1;0;29;4.909.945.187.539.920;1.0;6;26.318.426.599.202.500;26.562.693.120.703.400;0
0;1;1;1;1;6;0;31;2.483.569.549.742.780;6.0;1;2.125.058.411.766.720;20.514.801.989.395.100;1
0;1;1;1;1;6;1;27;745.631.273.483.407;6.0;5;34.954.265.543.892.300;34.931.849.732.566.900;0
0;0;0;0;1;1;0;31;498.424.766.234.962;1.0;2;24.087.710.730.551.300;16.788.351.639.373.000;1
1;1;0;0;1;1;0;26;13.230.582.257.215.000;1.0;0;0.7446546336657343;0.3663267973599255;1
1;1;0;0;1;1;0;27;2.230.770.265.134.260;1.0;1;347.442.826.887;35.814.259.790.832.500;0
1;0;0;0;1;1;0;28;13.402.379.452.066.300;1.0;1;31.692.569.894.410.000;30.768.602.923.531.700;1
0;1;1;1;1;6;1;23;35.276.584.810.343.000;5.0;6;1.811.854.797.371.710;1.837.657.496.395.280;0
1;1;1;1;1;6;0;25;1.508.785.117.260.240;6.0;3;15.253.391.835.073.700;15.464.526.417.447.000;0
1;1;0;0;1;1;1;28;2.028.695.714.953.410;1.0;1;13.255.571.086.378.600;1.323.743.796.344.120;0
0;1;1;1;1;12;1;28;22.829.636.455.793.700;12.0;7;21.304.565.966.137.800;22.405.352.486.229.400;0
1;1;1;0;1;12;1;26;8.066.238.212.954.930;12.0;1;0.3260902545510165;0.0;1
1;1;1;1;1;6;0;30;2.588.918.028.240.190;6.0;1;35.214.175.233.162.900;33.317.203.779.024.800;0
1;1;1;1;1;6;0;32;13.151.536.084.019.900;5.0;2;2.338.527.728.662.780;23.501.049.704.210.900;0
0;1;1;0;1;1;1;29;2.194.367.262.187.750;1.0;5;29.449.057.243.348.200;30.146.947.490.938.100;0
1;1;0;0;1;1;0;27;17.911.351.076.405.700;1.0;1;1.049.342.063.703.350;0.14537228834854754;1
0;1;1;1;1;1;0;27;765.208.997.925.555;1.0;0;12.671.365.611.396.800;10.063.452.517.163.900;1
0;1;1;1;0;12;1;31;47.107.326.617.153;11.0;1;15.679.295.462.054.600;17.290.945.620.002.800;0
0;1;1;0;1;6;1;31;2.871.859.956.447.220;6.0;2;1.481.877.238.770.290;1.559.308.967.542.610;0
1;1;1;1;1;12;1;27;20.447.039.624.125.600;12.0;4;0.5935683508662943;0.7435936894772566;0
0;1;1;1;1;1;0;27;488.267.527.356.102;1.0;0;0.5606742979264016;0.36343951932339297;1
1;0;0;0;1;1;0;33;1.536.732.461.061.310;1.0;3;3.188.692.173.088.990;311.172.099.896.668;0
1;1;0;0;1;12;0;31;11.605.408.247.589.600;10.0;31;23.787.478.129.857.400;23.073.117.793.700.600;0
1;1;0;0;1;1;1;26;8.432.011.180.145.990;1.0;10;2.153.606.213.915.760;22.600.818.302.081.800;0
0;1;0;0;1;1;0;31;28.245.068.184.937.400;1.0;1;1.418.379.506.177.000;14.221.469.668.487.100;0
1;1;1;1;1;12;1;31;14.257.992.704.753.500;12.0;1;11.561.005.446.664.800;1.189.768.376.094.490;0
0;1;0;0;1;1;1;31;14.041.634.640.733.700;1.0;3;0.8352741372472006;0.8213558739889518;0
0;0;0;0;1;1;0;31;7.147.910.800.529.980;1.0;4;4.698.029.064.654.080;4.482.544.624.234.030;0
1;1;1;1;1;6;1;27;2.160.170.714.134.420;6.0;4;0.13915284514050064;0.054591760887575634;0
1;1;0;0;1;6;1;27;20.440.896.731.152.700;6.0;1;23.157.839.869.742.600;21.580.587.810.164.100;1
1;1;1;1;1;6;1;32;9.024.237.917.915.750;6.0;21;13.368.085.783.229.500;1.384.729.802.793.960;0
